#Iteration	 RMSE	               Rel. Err.
347	     4.542010e-02	     2.170738e-02
348	     4.539367e-02	     2.169475e-02
349	     4.527599e-02	     2.163850e-02
350	     4.524399e-02	     2.162321e-02
351	     4.519313e-02	     2.159890e-02
352	     4.512519e-02	     2.156643e-02
353	     4.504963e-02	     2.153032e-02
354	     4.502509e-02	     2.151859e-02
355	     4.490824e-02	     2.146275e-02
356	     4.487786e-02	     2.144823e-02
357	     4.482679e-02	     2.142382e-02
358	     4.476367e-02	     2.139365e-02
359	     4.468597e-02	     2.135652e-02
360	     4.467044e-02	     2.134910e-02
361	     4.454725e-02	     2.129022e-02
362	     4.452114e-02	     2.127774e-02
363	     4.446711e-02	     2.125192e-02
364	     4.441372e-02	     2.122640e-02
365	     4.432895e-02	     2.118589e-02
366	     4.429026e-02	     2.116740e-02
367	     4.427639e-02	     2.116077e-02
368	     4.421874e-02	     2.113322e-02
369	     4.417602e-02	     2.111280e-02
370	     4.408251e-02	     2.106811e-02
371	     4.405046e-02	     2.105279e-02
372	     4.404049e-02	     2.104803e-02
373	     4.397379e-02	     2.101615e-02
374	     4.394788e-02	     2.100376e-02
375	     4.383905e-02	     2.095175e-02
376	     4.381280e-02	     2.093921e-02
377	     4.376199e-02	     2.091493e-02
378	     4.370708e-02	     2.088868e-02
379	     4.362808e-02	     2.085092e-02
380	     4.359003e-02	     2.083274e-02
381	     4.357649e-02	     2.082627e-02
382	     4.352145e-02	     2.079996e-02
383	     4.348104e-02	     2.078065e-02
384	     4.338957e-02	     2.073693e-02
385	     4.335979e-02	     2.072271e-02
386	     4.335155e-02	     2.071876e-02
387	     4.328428e-02	     2.068661e-02
388	     4.326756e-02	     2.067863e-02
389	     4.315389e-02	     2.062430e-02
390	     4.313283e-02	     2.061424e-02
391	     4.307906e-02	     2.058854e-02
392	     4.303762e-02	     2.056873e-02
393	     4.294971e-02	     2.052672e-02
394	     4.291787e-02	     2.051150e-02
395	     4.290896e-02	     2.050724e-02
396	     4.284617e-02	     2.047723e-02
397	     4.282818e-02	     2.046864e-02
398	     4.271848e-02	     2.041621e-02
399	     4.269867e-02	     2.040674e-02
400	     4.264510e-02	     2.038114e-02
401	     4.261275e-02	     2.036568e-02
402	     4.251942e-02	     2.032107e-02
403	     4.249346e-02	     2.030866e-02
404	     4.244688e-02	     2.028640e-02
405	     4.240176e-02	     2.026484e-02
406	     4.232177e-02	     2.022661e-02
407	     4.229120e-02	     2.021200e-02
408	     4.228248e-02	     2.020783e-02
409	     4.222131e-02	     2.017860e-02
410	     4.220522e-02	     2.017091e-02
411	     4.209704e-02	     2.011920e-02
412	     4.207875e-02	     2.011046e-02
413	     4.202556e-02	     2.008504e-02
414	     4.199451e-02	     2.007020e-02
415	     4.190246e-02	     2.002621e-02
416	     4.187681e-02	     2.001395e-02
417	     4.183155e-02	     1.999232e-02
418	     4.178716e-02	     1.997111e-02
419	     4.170889e-02	     1.993370e-02
420	     4.167885e-02	     1.991934e-02
421	     4.167113e-02	     1.991565e-02
422	     4.161097e-02	     1.988690e-02
423	     4.157443e-02	     1.986944e-02
424	     4.156106e-02	     1.986304e-02
425	     4.151340e-02	     1.984027e-02
